CO,Compra de 11$ en 1 cuota,,,5-->2019,6-->0912134245,7-->4545454544444444,8-->2003,9-->000000001100,10-->001,11-->000523,12-->00,13-->001303000523,14-->0280,15-->040303,1,,
RE,Reverso anterior,,,5-->2019,6-->0912134245,7-->4545454544444444,8-->2003,9-->000000001100,10-->001,11-->000523,12-->00,13-->001303000523,14-->0279,15-->040303,2,1,
CO,Compra de 12$ en 1 cuota,,,5-->2019,6-->0912135049,7-->4545454544444444,8-->2003,9-->000000001200,10-->001,11-->000524,12-->00,13-->000394000524,14-->0280,15-->000495,3,,
AN,Anulación OnLine 03,,,5-->2019,6-->0912135224,7-->4545454544444444,8-->2003,9-->000000001200,10-->001,11-->000525,12-->00,13-->000394000524,14-->0281,15-->030594,4,3,
RE,Reverso anterior,,,5-->2019,6-->0912135224,7-->4545454544444444,8-->2003,9-->000000001200,10-->001,11-->000525,12-->00,13-->000394000524,14-->0280,15-->030594,5,4,
AN,Anulación OnLine 03,,,5-->2019,6-->0912135907,7-->4545454544444444,8-->2003,9-->000000001200,10-->001,11-->000526,12-->00,13-->000394000524,14-->0281,15-->000819,6,3,
CO,Compra de 13$ en 1 cuota,,,5-->2019,6-->0912140149,7-->4545454544444444,8-->2003,9-->000000001300,10-->001,11-->000527,12-->00,13-->001320000527,14-->0282,15-->009000,7,,
AN,Anulación OnLine 07,,,5-->2019,6-->0912140319,7-->4545454544444444,8-->2003,9-->000000001300,10-->001,11-->000528,12-->00,13-->001320000527,14-->0283,15-->009009,8,7,
CO,Compra de 14$ en 1 cuota,,,5-->2019,6-->0912140425,7-->4545454544444444,8-->2003,9-->000000001400,10-->001,11-->000529,12-->00,13-->000395000529,14-->0284,15-->009505,9,,
CI,Cierre de Lote,9,4-->0912,5-->2019,6-->0912140944,,,,,11-->000530,12-->00,13-->001322140815,,,,,18-->059000300000000390000000000000000000002000000002500
